report_index,category,is_synthetic,synthetic_id,file_name,size,md5,sha1,sha256,app_name,package_name,main_activity,target_sdk,min_sdk,max_sdk,android_version_name,android_version_code,security_score,risk_level,grade,trackers_detection,findings_high,findings_medium,findings_info,findings_secure,findings_hotspot,activities,services,receivers,providers,exported_activities,exported_services,exported_receivers,exported_providers,binary_signed,v1_signature,v2_signature,v3_signature,v4_signature,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,cert_analysis_high,cert_analysis_warning,cert_analysis_info,manifest_high,manifest_warning,manifest_info,manifest_suppressed,permissions_total,permissions_dangerous,dangerous_permissions_list,all_permissions_list,malware_permission_matches,other_common_permission_matches,has_anti_vm_code,has_anti_debug_code,has_anti_root_code,has_obfuscator,has_dexmerge_manipulation,signed_with_debug_cert,janus_vulnerable
1909,banking_apk_scams,True,SYN-001909,6ca92a312a2b0592273dd41f90061b5cd90ebb8b2d2b04abc052fd13db170344.apk,7.57MB,0ec39f98783720786c1230dda96656a7,14ebd5a111a8ae320b688a8c12b7fef1fee78dea,6ca92a312a2b0592273dd41f90061b5cd90ebb8b2d2b04abc052fd13db170344,SecureWallet Lite,org.mobile.sdjofol,org.mobile.sdjofol.MainActivity,17,17,,6.6.90,7154433,23,HIGH RISK,C,,1,7,2,2,2,3,12,7,2,1,12,2,1,True,False,True,True,False,"C=US, O=MyCompany, CN=SecureWallet Lite","C=US, O=MyCompany, CN=SecureWallet Lite",2015-07-17 00:00:00+00:00,2052-11-23 00:00:00+00:00,3,0,2,0,8,2,0,10,7,android.permission.ACCESS_COARSE_LOCATION;android.permission.INSTALL_PACKAGES;android.permission.PROCESS_OUTGOING_CALLS;android.permission.RECEIVE_SMS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_CONTACTS;android.permission.WRITE_SETTINGS,android.permission.ACCESS_COARSE_LOCATION;android.permission.BLUETOOTH;android.permission.INSTALL_PACKAGES;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_PHONE_NUMBERS;android.permission.RECEIVE_SMS;android.permission.REORDER_TASKS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_CONTACTS;android.permission.WRITE_SETTINGS,7/25,3/44,False,True,True,False,True,False,False
1910,banking_apk_scams,True,SYN-001910,69105a7e22efed507a1a8413eb3f53f519779f1a38d5fb43701e6d0fea003dba.apk,54.67MB,ff98a01db23434f2b9f0e754891081dc,825f58c4742f190aab0632a71cdf660820c97466,69105a7e22efed507a1a8413eb3f53f519779f1a38d5fb43701e6d0fea003dba,SafeCash Mobile,net.global.aauoaa,net.global.aauoaa.MainActivity,34,13,,8.4.60,5243113,40,MEDIUM RISK,B,8/300,1,6,1,3,0,10,8,1,3,3,0,0,1,True,False,False,False,False,"C=US, O=Android, CN=SafeCash Mobile","C=US, O=Android, CN=SafeCash Mobile",2020-01-25 00:00:00+00:00,2028-06-08 00:00:00+00:00,3,0,0,1,5,1,0,7,4,android.permission.READ_SMS;android.permission.SEND_SMS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_SMS,android.permission.EXPAND_STATUS_BAR;android.permission.READ_SMS;android.permission.SEND_SMS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WAKE_LOCK;android.permission.WRITE_SMS;android.permission.WRITE_SYNC_SETTINGS,4/25,3/44,False,False,True,False,True,False,True
1911,banking_apk_scams,True,SYN-001911,7fefee6e0a9d775c27ecaa40fbe9762f5ab63f0193c8ced4ed88073f68156b7a.apk,7.31MB,dc3d0ba08a32b17a32826098ffbe52cd,c2deec92983949dda24d270d1ff800034f058bef,7fefee6e0a9d775c27ecaa40fbe9762f5ab63f0193c8ced4ed88073f68156b7a,EasyWallet Connect,net.studio.pxqme,net.studio.pxqme.MainActivity,29,12,,7.0.40,5716494,29,HIGH RISK,D,,4,9,3,3,2,1,5,8,2,0,1,0,0,True,False,True,False,False,"C=US, O=Android, CN=Android Debug","C=US, O=Android, CN=Android Debug",2017-01-08 00:00:00+00:00,2047-04-20 00:00:00+00:00,1,2,0,2,6,0,0,16,8,android.permission.ACCESS_COARSE_LOCATION;android.permission.DISABLE_KEYGUARD;android.permission.READ_SMS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,android.permission.ACCESS_COARSE_LOCATION;android.permission.DISABLE_KEYGUARD;android.permission.GET_TASKS;android.permission.KILL_BACKGROUND_PROCESSES;android.permission.POST_NOTIFICATIONS;android.permission.READ_MEDIA_IMAGES;android.permission.READ_SMS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.REORDER_TASKS;android.permission.SCHEDULE_EXACT_ALARM;android.permission.SET_WALLPAPER;android.permission.USE_EXACT_ALARM;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,8/25,8/44,True,False,False,True,False,True,False
1912,banking_apk_scams,True,SYN-001912,3d3700aa7e4861c8cf6282ee0bc477565e9c7329e311ff10da9ed0a358dc0e91.apk,50.92MB,5ede8267da2eefaa55704a173b26f2c7,8260ecf55ddc184f613b5f24055179a3f01ac4f9,3d3700aa7e4861c8cf6282ee0bc477565e9c7329e311ff10da9ed0a358dc0e91,SafePay,app.studio.xmgnrubvh,app.studio.xmgnrubvh.MainActivity,19,16,,2.5.56,9011115,50,MEDIUM RISK,C,2/350,0,2,3,0,1,22,18,10,0,7,6,7,0,True,False,False,True,False,"C=US, O=MyCompany, CN=SafePay","C=US, O=MyCompany, CN=SafePay",2019-08-12 00:00:00+00:00,2047-06-28 00:00:00+00:00,3,1,0,3,1,1,0,8,3,android.permission.ACCESS_FINE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.BLUETOOTH_ADMIN;android.permission.GET_ACCOUNTS;android.permission.SET_WALLPAPER;android.permission.WRITE_EXTERNAL_STORAGE,3/25,5/44,False,False,False,False,False,False,False
1913,banking_apk_scams,True,SYN-001913,7b7d11fc0b1d71229583d473c9388a9c07a760c4ed1fc4844b7c2a55e7edf30e.apk,35.26MB,05fe06523e3bb369c4baaa009bdb222d,32ef5c1dd6b2f199a8d36066e36ac81b448e7757,7b7d11fc0b1d71229583d473c9388a9c07a760c4ed1fc4844b7c2a55e7edf30e,InstantBanking Lite,org.team.zxvr,org.team.zxvr.MainActivity,26,9,,6.5.17,279417,20,HIGH RISK,C,7/300,0,6,2,3,1,9,11,3,1,4,11,0,1,True,False,True,True,False,"C=US, O=team, CN=InstantBanking Lite","C=US, O=team, CN=InstantBanking Lite",2015-10-06 00:00:00+00:00,2038-10-21 00:00:00+00:00,0,1,0,1,5,1,0,18,6,android.permission.BIND_DEVICE_ADMIN;android.permission.CAMERA;android.permission.DISABLE_KEYGUARD;android.permission.READ_EXTERNAL_STORAGE;android.permission.WRITE_CALL_LOG;android.permission.WRITE_SETTINGS,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.BIND_DEVICE_ADMIN;android.permission.CAMERA;android.permission.CHANGE_NETWORK_STATE;android.permission.DISABLE_KEYGUARD;android.permission.GET_ACCOUNTS;android.permission.GET_TASKS;android.permission.INTERNET;android.permission.MANAGE_EXTERNAL_STORAGE;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_MEDIA_IMAGES;android.permission.REORDER_TASKS;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WRITE_CALL_LOG;android.permission.WRITE_SETTINGS;com.google.android.c2dm.permission.RECEIVE,6/25,12/44,False,False,False,False,False,False,False
1914,banking_apk_scams,True,SYN-001914,832faada076b03c25e2c55097ddce12466546ba7875e73924bdf4c4a8be33a6c.apk,16.9MB,1a0cea581334900ca4d3c6d911c2671e,6f529439ed956df86400e32e5e9a9decd6caeb6b,832faada076b03c25e2c55097ddce12466546ba7875e73924bdf4c4a8be33a6c,QuickPay Connect,info.corp.egcso,info.corp.egcso.MainActivity,16,13,,1.6.54,1291415,78,LOW RISK,A,,0,3,1,1,3,15,0,13,4,4,0,12,1,True,False,True,False,False,"C=US, O=Android, CN=QuickPay Connect","C=US, O=Android, CN=QuickPay Connect",2015-12-22 00:00:00+00:00,2032-06-13 00:00:00+00:00,3,1,0,0,3,1,0,3,1,android.permission.WRITE_CALL_LOG,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.EXPAND_STATUS_BAR;android.permission.WRITE_CALL_LOG,1/25,2/44,False,False,False,False,False,False,False
1915,banking_apk_scams,True,SYN-001915,47027f44c46f3231b4f30251c93a8d4cfa01fff6b92704f4a16b1837fa10b2e0.apk,60.41MB,f3a5fed155d89c26e15d59e125239fd4,dc543d2ac00c9d0ac227648f7b3a8d7a7d04e3f0,47027f44c46f3231b4f30251c93a8d4cfa01fff6b92704f4a16b1837fa10b2e0,UnitedCredit Mobile,com.services.lnzvphmjdz,com.services.lnzvphmjdz.MainActivity,35,19,,6.4.70,2537286,57,MEDIUM RISK,C,8/300,1,6,1,3,3,15,5,9,0,2,5,6,0,True,True,False,False,False,"C=US, O=Android, CN=UnitedCredit Mobile","C=US, O=Android, CN=UnitedCredit Mobile",2020-10-01 00:00:00+00:00,2045-08-13 00:00:00+00:00,3,0,1,2,7,1,0,13,5,android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_DEVICE_ADMIN;android.permission.READ_CONTACTS;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_DEVICE_ADMIN;android.permission.CHANGE_CONFIGURATION;android.permission.EXPAND_STATUS_BAR;android.permission.FOREGROUND_SERVICE;android.permission.MANAGE_EXTERNAL_STORAGE;android.permission.PERSISTENT_ACTIVITY;android.permission.READ_CONTACTS;android.permission.READ_MEDIA_IMAGES;android.permission.READ_PHONE_NUMBERS;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SCHEDULE_EXACT_ALARM,5/25,8/44,False,False,False,False,False,False,False
1916,banking_apk_scams,True,SYN-001916,a3d3fa38951f96e9a5993184a7a708470cad458a6c993e5a052f9961c72f5fd1.apk,8.39MB,aca8a3c04a99df031d1eac3c83307e56,def94b4aa48aff06688da68cb3502e13614409f9,a3d3fa38951f96e9a5993184a7a708470cad458a6c993e5a052f9961c72f5fd1,CityBank Lite,app.digital.gaxapmvu,app.digital.gaxapmvu.MainActivity,32,11,,5.5.4,3398379,38,HIGH RISK,C,2/432,2,8,2,1,2,15,1,11,0,6,1,1,0,True,True,True,True,False,"C=US, O=Android, CN=Android Debug","C=US, O=Android, CN=Android Debug",2017-10-05 00:00:00+00:00,2047-02-08 00:00:00+00:00,1,2,0,1,4,2,0,21,10,android.permission.ACCESS_FINE_LOCATION;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.INSTALL_PACKAGES;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.RECORD_AUDIO;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SMS,android.permission.ACCESS_FINE_LOCATION;android.permission.AUTHENTICATE_ACCOUNTS;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.CHANGE_WIFI_STATE;android.permission.INSTALL_PACKAGES;android.permission.KILL_BACKGROUND_PROCESSES;android.permission.MANAGE_EXTERNAL_STORAGE;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.NFC;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.READ_SYNC_SETTINGS;android.permission.RECORD_AUDIO;android.permission.USE_BIOMETRIC;android.permission.USE_CREDENTIALS;android.permission.USE_EXACT_ALARM;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SMS;com.google.android.gms.permission.AD_ID,10/25,11/44,True,False,True,False,False,True,False
1917,banking_apk_scams,True,SYN-001917,148f7906f5d8fb6ecc64e52db706ee30d3d87f498bb7f0676616a1c261377b55.apk,2.74MB,5ffaf3bc1294b910452e87ec6a5489a0,4a8c294c6437679039f070576ac0b6e77593a321,148f7906f5d8fb6ecc64e52db706ee30d3d87f498bb7f0676616a1c261377b55,TrustTransfer Now,app.apps.mtzihioi,app.apps.mtzihioi.MainActivity,15,10,,2.2.7,3988840,32,HIGH RISK,C,0/400,3,6,2,3,1,5,15,2,1,5,7,2,1,True,True,True,False,False,"C=US, O=apps, CN=Android Debug","C=US, O=apps, CN=Android Debug",2023-11-06 00:00:00+00:00,2027-12-08 00:00:00+00:00,1,0,0,2,5,1,0,13,4,android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.INSTALL_PACKAGES;android.permission.READ_EXTERNAL_STORAGE;android.permission.WRITE_CONTACTS,android.permission.ACCESS_NETWORK_STATE;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.CHANGE_CONFIGURATION;android.permission.INSTALL_PACKAGES;android.permission.INTERNET;android.permission.MANAGE_ACCOUNTS;android.permission.QUERY_ALL_PACKAGES;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_MEDIA_AUDIO;android.permission.SET_WALLPAPER;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_CONTACTS,4/25,9/44,False,False,False,False,True,True,False
1918,banking_apk_scams,True,SYN-001918,ac89322d1fbe4ab06129092841690d2fa6a962261adcdf64f0d25d193c9b86c9.apk,66.63MB,ed818a198018db5e5ae9f9a750d0d947,b6d7552bc9715dc448ee59310cf917480f590921,ac89322d1fbe4ab06129092841690d2fa6a962261adcdf64f0d25d193c9b86c9,TrustPay Connect,org.soft.lfombbcsxa,org.soft.lfombbcsxa.MainActivity,35,11,,6.3.96,7089586,37,HIGH RISK,D,0/450,2,4,0,2,0,25,11,8,7,8,7,4,0,True,False,False,False,False,"C=US, O=AppDev, CN=TrustPay Connect","C=US, O=AppDev, CN=TrustPay Connect",2011-04-22 00:00:00+00:00,2045-12-28 00:00:00+00:00,1,1,0,1,4,1,0,19,8,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.WRITE_CALL_LOG;android.permission.WRITE_CONTACTS;android.permission.WRITE_SMS,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.AUTHENTICATE_ACCOUNTS;android.permission.CHANGE_CONFIGURATION;android.permission.EXPAND_STATUS_BAR;android.permission.GET_ACCOUNTS;android.permission.GET_TASKS;android.permission.NFC;android.permission.PERSISTENT_ACTIVITY;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.RESTART_PACKAGES;android.permission.USE_EXACT_ALARM;android.permission.WRITE_CALL_LOG;android.permission.WRITE_CONTACTS;android.permission.WRITE_SMS;com.google.android.gms.permission.AD_ID,8/25,11/44,False,False,False,False,False,False,False
1919,banking_apk_scams,True,SYN-001919,c0a7b8c8faa712e23565afc7664fb69acbd32a67442120559fdebf4608659f44.apk,21.7MB,6a2a080d00048529666a2b08fe68167a,4724da3589f72b082a7012398b8b811fbdcdb9a5,c0a7b8c8faa712e23565afc7664fb69acbd32a67442120559fdebf4608659f44,SmartLoan Go,org.team.zfohaiyb,org.team.zfohaiyb.MainActivity,34,26,,5.3.99,1964346,60,LOW RISK,A,,0,0,1,2,3,20,12,5,2,9,5,5,2,True,False,True,True,False,"C=US, O=AppDev, CN=SmartLoan Go","C=US, O=AppDev, CN=SmartLoan Go",2021-07-25 00:00:00+00:00,2055-05-23 00:00:00+00:00,1,2,0,0,1,0,0,6,1,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.KILL_BACKGROUND_PROCESSES;android.permission.MANAGE_ACCOUNTS;android.permission.READ_MEDIA_IMAGES;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.SCHEDULE_EXACT_ALARM;android.permission.WRITE_SYNC_SETTINGS,1/25,5/44,False,False,False,False,False,False,False
1920,banking_apk_scams,True,SYN-001920,c09fd2d3bda707badf38889b32a4cc57d3bf338e20aa4e4523c6310a67bcbda6.apk,5.3MB,116745f0ab3743b98a5bdd9ebb0615e0,cb06f64e39eb084c74a2b1e9863423ca11169618,c09fd2d3bda707badf38889b32a4cc57d3bf338e20aa4e4523c6310a67bcbda6,SecureBank Now,xyz.services.korszlz,xyz.services.korszlz.MainActivity,28,17,,7.0.0,5700526,39,HIGH RISK,D,5/450,4,4,0,0,0,3,16,0,7,3,2,0,7,True,False,False,False,False,"C=US, O=services, CN=Android Debug","C=US, O=services, CN=Android Debug",2012-10-12 00:00:00+00:00,2030-04-08 00:00:00+00:00,1,0,0,1,2,1,0,25,16,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.BIND_DEVICE_ADMIN;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.INSTALL_PACKAGES;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_SMS;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.WRITE_CALL_LOG;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.BIND_DEVICE_ADMIN;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.CHANGE_NETWORK_STATE;android.permission.EXPAND_STATUS_BAR;android.permission.FOREGROUND_SERVICE;android.permission.INSTALL_PACKAGES;android.permission.INTERACT_ACROSS_USERS;android.permission.MANAGE_EXTERNAL_STORAGE;android.permission.NFC;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_PHONE_NUMBERS;android.permission.READ_SMS;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.USE_EXACT_ALARM;android.permission.WAKE_LOCK;android.permission.WRITE_CALL_LOG;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,16/25,9/44,False,False,False,False,False,True,True
1921,banking_apk_scams,True,SYN-001921,dafa1e413a60952a866f643d78730054fcd1c10e4fc337d102b9044641d7a0ad.apk,57.34MB,9322cc58b4df07f7521365249c317db2,a844466e6bc1dc491acf13fdf50afe8424e2120a,dafa1e413a60952a866f643d78730054fcd1c10e4fc337d102b9044641d7a0ad,RapidWallet Pro,net.dev.ytqxrrx,net.dev.ytqxrrx.MainActivity,19,19,,9.4.55,4202796,22,HIGH RISK,C,,3,9,3,1,1,14,16,11,8,8,7,7,6,True,True,True,False,False,"C=US, O=MyCompany, CN=Android Debug","C=US, O=MyCompany, CN=Android Debug",2021-06-11 00:00:00+00:00,2047-12-07 00:00:00+00:00,0,2,2,2,7,0,0,11,7,android.permission.ACCESS_COARSE_LOCATION;android.permission.DISABLE_KEYGUARD;android.permission.READ_EXTERNAL_STORAGE;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_SMS,android.permission.ACCESS_COARSE_LOCATION;android.permission.AUTHENTICATE_ACCOUNTS;android.permission.DISABLE_KEYGUARD;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.READ_EXTERNAL_STORAGE;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WRITE_SMS,7/25,4/44,False,True,True,False,False,True,True
1922,banking_apk_scams,True,SYN-001922,2b13699f34651c9a46ccea218901cb14f5d384a5b2c9dda843d45087ece209ea.apk,64.07MB,656e27f2cf7350ab4055639d3ceb16eb,a206028f5f0896c6a578ad3d9cc0fdbc4e40e9ca,2b13699f34651c9a46ccea218901cb14f5d384a5b2c9dda843d45087ece209ea,SafeCredit Online,app.tech.zhrhxcfkd,app.tech.zhrhxcfkd.MainActivity,22,18,,7.5.13,6817594,59,MEDIUM RISK,B,2/400,1,8,2,3,2,1,10,13,8,0,1,6,8,True,True,True,False,False,"C=US, O=AppDev, CN=SafeCredit Online","C=US, O=AppDev, CN=SafeCredit Online",2010-02-17 00:00:00+00:00,2039-07-13 00:00:00+00:00,0,0,1,1,8,0,0,4,3,android.permission.INSTALL_PACKAGES;android.permission.RECORD_AUDIO;android.permission.WRITE_EXTERNAL_STORAGE,android.permission.INSTALL_PACKAGES;android.permission.POST_NOTIFICATIONS;android.permission.RECORD_AUDIO;android.permission.WRITE_EXTERNAL_STORAGE,3/25,1/44,False,False,False,False,False,False,False
1923,banking_apk_scams,True,SYN-001923,5c04f68e90aaed277434dad0d517beec95c135d0e4c716c1dffd8640306a5ed9.apk,64.8MB,ec31d2ac33f901be54f643b744febd63,119d48fab4561f68a8f94ae9a91cf62433760e00,5c04f68e90aaed277434dad0d517beec95c135d0e4c716c1dffd8640306a5ed9,MyBanking Now,com.apps.szyqhjvm,com.apps.szyqhjvm.MainActivity,25,24,,1.9.95,7772438,52,MEDIUM RISK,C,8/300,1,2,1,2,1,8,1,6,2,0,0,3,1,True,False,True,True,False,"C=US, O=Unknown, CN=Android Debug","C=US, O=Unknown, CN=Android Debug",2015-04-22 00:00:00+00:00,2055-12-28 00:00:00+00:00,3,0,2,0,6,1,0,12,8,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.RECORD_AUDIO;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.CHANGE_CONFIGURATION;android.permission.INTERNET;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.RECORD_AUDIO;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;com.google.android.gms.permission.AD_ID,8/25,4/44,False,False,False,False,False,True,False
1924,banking_apk_scams,True,SYN-001924,3e9f572c3dba9252df16b1b155b0ee155ffbee7f43030917a61af34c8659133c.apk,68.2MB,0af410e77d998f36f5985217719a7a99,c52558dc9e8de3613b03ec07aeff4868fb313af3,3e9f572c3dba9252df16b1b155b0ee155ffbee7f43030917a61af34c8659133c,TrustTransfer App,xyz.soft.rajvn,xyz.soft.rajvn.MainActivity,33,18,,2.5.91,6995869,28,HIGH RISK,C,5/450,3,5,0,3,0,22,8,15,4,6,8,4,2,True,True,True,True,False,"C=US, O=soft, CN=TrustTransfer App","C=US, O=soft, CN=TrustTransfer App",2012-09-14 00:00:00+00:00,2038-07-01 00:00:00+00:00,3,2,0,2,5,2,0,13,6,android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.READ_CALL_LOG;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SYSTEM_ALERT_WINDOW,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.INTERACT_ACROSS_USERS;android.permission.PERSISTENT_ACTIVITY;android.permission.READ_CALL_LOG;android.permission.READ_MEDIA_VIDEO;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_BIOMETRIC;android.permission.USE_EXACT_ALARM,6/25,7/44,True,True,False,True,True,False,False
1925,banking_apk_scams,True,SYN-001925,4592261fc2fb5d0caabe421b664fc683ccb1b19596dfac04239e819653ba93d9.apk,26.14MB,00bf991eefd81c0794a203a8261384e7,df33bb3d11fa7b3685056039dd88bca048290d5d,4592261fc2fb5d0caabe421b664fc683ccb1b19596dfac04239e819653ba93d9,TrustCredit Connect,org.apps.uhmxjivb,org.apps.uhmxjivb.MainActivity,20,18,,9.3.88,4492748,46,MEDIUM RISK,C,8/300,0,5,2,1,1,16,2,14,7,12,0,3,1,True,False,False,False,False,"C=US, O=MyCompany, CN=Android Debug","C=US, O=MyCompany, CN=Android Debug",2022-02-07 00:00:00+00:00,2040-01-02 00:00:00+00:00,1,1,1,0,7,2,0,12,4,android.permission.ACCESS_COARSE_LOCATION;android.permission.INSTALL_PACKAGES;android.permission.READ_CONTACTS;android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.ACCESS_WIFI_STATE;android.permission.BLUETOOTH_ADMIN;android.permission.GET_ACCOUNTS;android.permission.INSTALL_PACKAGES;android.permission.INTERACT_ACROSS_USERS;android.permission.READ_CONTACTS;android.permission.READ_MEDIA_IMAGES;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SET_WALLPAPER,4/25,8/44,True,False,False,False,False,True,False
1926,banking_apk_scams,True,SYN-001926,d07f8c4f8a009bdc2d22034bf461b782d57ad2d65a8d22f0bd2ccab2422f5ecc.apk,0.99MB,80daa48d87d056d069c33b2d10f2eab6,55a9f0c476fa8cce3b97b533f0aa6851116b82dc,d07f8c4f8a009bdc2d22034bf461b782d57ad2d65a8d22f0bd2ccab2422f5ecc,SecureFund Lite,app.labs.pjjrgmu,app.labs.pjjrgmu.MainActivity,22,19,,5.6.22,6001834,53,MEDIUM RISK,C,,1,9,2,2,0,15,11,3,0,13,2,2,0,True,False,False,True,False,"C=US, O=Android, CN=SecureFund Lite","C=US, O=Android, CN=SecureFund Lite",2020-01-26 00:00:00+00:00,2033-06-04 00:00:00+00:00,1,1,0,0,4,0,0,6,2,android.permission.PROCESS_OUTGOING_CALLS;android.permission.RECORD_AUDIO,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_WIFI_STATE;android.permission.BROADCAST_STICKY;android.permission.CHANGE_CONFIGURATION;android.permission.PROCESS_OUTGOING_CALLS;android.permission.RECORD_AUDIO,2/25,4/44,False,True,False,False,False,False,True
